cgpa,dsa_score,aptitude_score,communication_score,mock_interview_avg_score,placed
7.07,80.4,73.7,82.4,75.1,1
6.49,60.0,90.4,79.2,47.8,0
5.85,58.9,82.9,77.7,7.5,0
8.32,50.7,72.3,71.6,69.4,1
7.57,71.4,81.3,78.7,38.0,0
6.21,95.9,57.6,73.8,23.7,0
6.2,49.0,74.8,79.6,9.0,0
7.16,65.4,91.7,70.0,74.7,1
9.17,86.2,67.4,73.2,62.3,1
7.24,63.8,59.8,65.1,55.9,0
6.0,71.8,62.2,74.6,85.0,1
7.25,49.1,56.9,66.9,71.5,0
7.23,71.4,60.6,63.9,89.1,0
4.8,62.2,65.6,77.6,34.9,0
7.45,79.8,53.1,77.1,59.4,1
7.27,82.8,70.2,82.8,30.9,1
8.2,100.0,80.8,70.7,55.9,1
9.35,73.7,59.1,79.1,55.5,1
8.63,69.9,88.2,80.5,71.3,1
7.23,67.9,76.1,79.4,60.8,1
6.39,59.7,82.4,66.7,71.2,1
10.0,70.1,62.1,76.5,72.7,1
7.56,60.6,80.3,78.6,98.8,1
7.51,67.5,56.9,75.1,54.3,1
7.48,84.8,80.7,54.1,43.1,1
7.7,49.9,72.1,76.6,64.4,1
7.36,82.1,76.6,97.1,45.6,1
6.93,84.8,55.9,71.4,86.7,1
6.95,63.2,59.3,67.7,54.9,0
7.47,33.2,77.2,78.7,49.8,0
6.96,55.9,58.6,78.1,51.5,0
6.79,84.5,75.6,86.9,72.9,1
7.61,64.7,53.6,62.4,57.2,0
7.25,50.0,80.2,82.3,48.4,0
9.0,57.4,55.2,80.9,90.0,1
4.85,77.6,76.6,73.6,44.6,0
8.59,73.2,77.5,78.4,60.6,1
8.75,61.4,61.6,85.3,71.7,1
5.43,59.5,77.0,83.7,30.6,0
7.16,59.1,73.1,63.6,68.6,0
7.13,51.2,63.5,83.2,41.0,1
6.09,89.2,57.9,74.4,74.8,1
6.72,60.2,46.4,75.7,42.7,0
6.39,83.3,74.2,75.7,72.5,1
9.25,87.8,51.2,73.5,79.9,1
8.44,80.0,71.1,86.9,75.5,1
8.77,58.5,66.8,74.2,64.5,0
8.22,71.1,78.1,63.8,55.8,0
6.37,64.6,66.4,71.1,49.6,0
6.98,51.4,66.0,76.8,86.5,0
7.99,69.9,78.8,87.3,47.4,1
6.28,47.3,74.0,81.0,41.3,0
8.21,82.8,73.8,66.5,72.0,1
7.26,58.0,75.6,99.9,45.7,1
7.13,68.0,51.6,77.6,42.9,0
8.21,69.2,79.1,87.8,34.0,0
7.94,61.1,77.3,73.5,51.3,0
7.14,73.8,57.8,80.3,58.5,1
8.66,57.9,67.1,83.4,64.4,0
6.42,78.1,69.5,87.2,77.1,1
8.12,44.8,68.4,85.6,69.5,0
8.09,66.9,74.0,83.7,56.6,1
7.19,94.1,87.2,71.8,56.4,1
7.83,50.0,83.0,69.3,69.2,0
6.25,54.8,54.3,78.3,82.9,0
8.42,72.7,77.5,84.3,62.3,1
7.32,67.7,85.9,72.8,51.6,1
6.98,70.3,74.6,85.7,42.1,1
8.55,72.3,83.1,89.5,34.0,1
6.8,74.5,94.1,65.8,72.0,1
6.09,81.6,82.3,66.6,70.4,1
5.94,71.1,73.0,73.6,70.4,1
8.11,61.4,82.5,78.1,57.7,0
6.22,75.1,71.7,69.8,85.3,1
9.25,93.5,70.3,88.5,51.3,1
5.42,63.0,65.8,79.2,77.2,0
9.2,50.4,88.8,75.4,59.3,1
7.71,81.6,60.2,60.6,49.0,1
7.4,63.2,88.4,61.8,70.7,1
6.96,32.4,76.0,77.8,67.4,0
7.9,77.7,53.2,53.7,66.4,1
7.46,57.0,74.4,85.1,61.5,1
8.6,63.6,44.8,73.4,59.3,0
7.61,70.0,77.5,100.0,100.0,1
7.65,67.9,80.6,98.1,81.3,1
7.14,75.6,62.9,73.2,73.0,1
7.44,58.5,71.5,73.9,62.0,0
7.81,72.7,93.4,85.0,78.1,1
5.79,61.1,63.9,92.0,69.3,1
6.15,76.1,57.3,58.6,60.5,0
8.24,74.2,87.8,57.1,54.5,1
7.67,51.0,93.6,68.8,58.5,0
7.32,81.3,70.0,80.8,2.9,0
7.52,57.0,82.1,80.0,63.8,0
7.85,77.1,86.1,85.7,51.2,1
6.96,70.5,61.1,63.0,88.7,1
6.72,92.6,64.2,51.8,60.3,1
7.7,61.6,84.8,83.6,38.6,0
6.52,59.8,90.2,66.7,59.1,1
7.91,64.7,76.8,54.8,41.2,1
5.8,60.5,59.4,76.5,68.5,0
8.53,77.0,93.8,82.9,65.2,1
7.97,40.8,63.6,73.8,77.2,0
7.76,49.2,66.0,70.4,45.8,0
8.48,49.0,74.1,73.4,60.6,1
9.17,79.3,88.6,71.3,35.4,1
8.51,90.7,80.2,61.5,72.6,1
5.66,63.4,75.0,67.9,69.3,1
6.22,62.5,75.6,80.2,68.9,0
6.88,66.1,70.5,78.2,60.0,1
7.53,82.4,76.7,76.7,67.5,1
8.02,51.1,39.6,65.0,88.9,0
6.77,68.6,66.4,73.2,54.9,1
7.69,79.6,72.9,53.2,62.5,1
6.74,72.5,56.2,76.8,40.4,0
6.89,67.8,74.6,89.3,44.4,1
6.09,80.0,67.5,60.3,61.8,0
6.58,24.5,91.1,69.1,79.9,0
6.15,75.2,88.9,78.3,55.4,0
6.52,55.2,64.4,87.5,55.8,1
8.55,37.5,68.2,70.5,52.7,0
6.55,72.7,69.1,68.1,50.4,0
10.0,85.6,64.6,55.3,65.3,1
7.99,62.9,72.3,76.0,33.0,0
7.68,79.3,60.9,95.4,83.1,1
6.64,89.2,56.4,77.8,48.0,1
8.2,84.7,77.5,74.8,73.0,1
6.92,89.6,77.6,78.2,37.1,1
7.62,76.1,60.3,74.9,72.0,1
10.0,66.1,80.7,66.9,72.1,1
7.4,41.0,62.4,83.2,66.9,0
8.65,61.3,73.0,77.3,42.1,0
6.8,52.4,79.8,75.2,64.5,0
7.47,97.6,69.6,65.2,38.7,1
9.27,62.4,75.5,88.0,55.5,1
6.87,66.8,63.8,81.6,78.5,1
9.31,73.3,67.6,69.5,74.3,1
8.21,65.7,67.5,85.0,60.3,1
6.94,90.4,61.0,70.0,42.5,1
8.13,55.7,67.9,67.2,71.6,1
8.47,67.9,51.4,67.4,60.3,0
8.12,53.9,64.1,57.3,18.2,0
5.93,45.2,66.6,79.7,74.1,0
6.77,55.8,66.9,56.7,59.6,0
7.25,64.4,67.1,62.7,81.6,1
7.43,58.6,69.3,54.2,40.3,0
8.12,54.6,75.8,74.1,2.8,0
7.68,43.9,80.5,73.5,65.0,0
6.16,63.8,62.2,71.7,65.2,0
7.88,42.4,55.6,64.6,29.6,0
8.11,76.4,57.5,63.3,42.4,1
8.06,66.2,64.2,79.6,100.0,1
8.58,43.1,65.8,69.5,54.5,0
8.33,60.4,60.8,78.2,73.2,1
7.96,53.7,54.4,66.1,48.3,1
7.43,69.8,64.5,76.8,22.4,0
5.84,85.1,72.2,88.0,56.9,1
7.93,36.9,77.1,80.9,55.2,0
7.71,66.7,63.3,70.9,52.8,0
7.77,62.6,65.0,77.6,57.9,1
6.22,75.1,58.9,72.6,64.8,1
6.42,68.2,69.6,75.1,57.3,0
8.55,53.7,59.8,71.7,37.2,0
7.46,60.2,76.9,73.4,68.8,1
8.18,53.1,48.6,77.1,24.9,0
7.53,81.1,65.7,65.1,23.1,0
7.53,65.3,73.6,64.8,73.3,1
8.44,93.5,72.2,61.1,69.1,1
6.98,64.1,100.0,59.0,59.0,1
7.6,54.4,74.2,62.8,34.9,0
7.04,42.3,58.0,76.6,47.3,0
7.07,38.0,68.9,66.1,55.3,0
7.19,41.2,48.7,80.1,31.3,0
7.72,69.0,69.0,75.3,46.7,0
7.02,72.6,60.0,55.3,71.7,1
8.76,41.3,81.0,81.5,85.7,1
6.61,78.4,63.4,83.1,52.5,1
7.31,57.8,68.6,65.1,73.6,1
7.06,67.2,62.4,79.2,25.5,0
8.95,89.2,90.9,66.4,71.9,1
7.7,78.5,66.1,76.0,45.5,0
8.53,61.0,92.0,62.4,65.5,0
6.01,51.6,79.8,57.1,55.5,0
7.77,32.7,75.8,71.2,83.8,0
8.39,54.2,74.4,73.8,44.3,0
7.58,61.8,74.7,71.0,71.3,0
8.57,50.2,46.9,63.2,55.0,0
6.98,63.0,66.7,71.0,57.2,0
8.91,66.2,80.1,77.7,56.7,1
9.8,61.6,69.4,74.6,44.8,0
7.14,55.2,53.1,76.8,59.7,1
7.05,67.5,69.4,68.3,58.9,0
8.95,71.6,90.4,86.7,64.3,1
9.08,48.6,85.0,63.2,61.5,0
6.98,86.2,69.3,79.9,74.4,1
7.08,63.5,81.4,86.8,76.6,1
7.22,65.3,65.6,79.8,41.1,1
6.16,75.6,49.6,73.0,75.6,1
6.58,68.5,58.9,69.7,38.6,0
6.5,79.3,88.8,85.4,70.6,1
6.73,69.3,66.7,60.8,71.2,1
7.47,55.8,67.1,65.3,25.6,0
7.73,70.4,66.4,71.0,61.7,1
9.05,47.8,92.8,87.4,51.6,0
6.5,66.6,89.5,78.8,46.3,1
8.48,64.5,96.6,65.3,84.3,1
7.29,61.9,68.1,71.9,48.2,0
7.45,63.1,73.5,68.9,45.5,0
8.17,36.8,51.8,67.9,61.4,0
6.38,56.8,87.7,84.8,72.3,0
7.88,66.4,56.0,61.3,57.5,0
7.67,67.4,72.6,91.1,81.0,1
7.99,49.6,56.8,83.3,69.6,0
7.79,84.0,62.9,85.9,20.8,1
9.96,52.0,60.0,70.4,50.5,0
6.86,79.5,62.7,73.5,49.9,0
6.97,71.4,63.5,60.7,68.6,1
6.88,55.3,63.4,69.8,12.8,0
6.94,91.6,80.0,79.9,100.0,1
6.86,47.1,56.7,88.0,69.6,0
8.69,78.8,72.6,63.9,62.7,1
8.92,80.0,84.6,71.3,81.3,1
6.93,54.9,63.8,73.5,100.0,0
6.67,85.9,61.4,61.0,75.7,0
7.97,61.2,67.2,80.9,77.1,1
6.95,69.3,84.2,67.8,62.4,1
8.13,68.9,72.3,73.0,57.5,1
7.7,63.0,63.6,70.5,51.4,1
5.98,77.2,75.8,67.1,45.1,1
9.05,76.9,56.8,74.9,47.6,1
9.3,38.8,78.2,72.8,35.7,0
6.89,84.6,74.9,71.3,58.6,1
7.11,40.1,66.3,67.7,29.7,0
7.79,80.5,59.9,78.2,63.4,1
7.83,81.9,59.4,91.5,59.3,1
8.16,48.6,76.4,76.4,62.6,0
9.51,58.8,84.7,85.0,50.6,1
7.32,48.4,62.4,61.1,100.0,1
6.7,61.8,75.5,76.6,84.5,1
6.12,60.4,45.0,64.0,37.6,0
6.77,76.7,63.0,60.2,64.2,0
7.47,84.7,69.6,67.6,49.1,1
9.29,85.9,59.1,86.9,41.7,1
6.98,56.6,58.8,84.5,35.9,0
7.72,61.9,62.0,77.4,67.8,1
7.48,39.7,73.5,59.7,47.7,0
8.69,52.9,67.8,73.0,77.4,1
10.0,79.5,43.1,78.0,77.9,0
6.97,89.2,44.6,76.8,84.7,1
7.01,46.5,62.7,56.6,44.7,0
8.54,56.1,75.5,66.1,68.6,0
8.18,64.6,37.0,74.4,71.4,0
9.35,69.2,64.0,80.4,51.5,1
8.08,52.9,63.7,53.0,46.1,0
7.14,71.4,86.7,73.4,89.0,1
8.09,57.9,65.4,76.4,64.1,0
8.61,64.8,74.6,83.5,71.4,1
8.32,73.2,71.7,81.9,45.2,1
8.01,65.1,44.4,80.8,38.1,0
8.57,58.5,79.2,67.0,49.7,0
8.67,63.4,72.6,55.9,57.8,0
8.88,63.7,76.1,71.1,40.8,1
8.15,59.4,100.0,85.0,59.8,1
7.33,61.1,45.0,88.9,29.6,0
7.65,89.0,90.7,82.1,39.8,1
8.71,73.4,66.6,79.3,72.1,1
6.68,60.6,73.4,78.8,70.9,1
7.87,75.5,69.5,69.4,52.9,1
7.11,60.0,64.9,73.7,41.7,0
7.53,82.6,63.2,91.7,41.5,1
8.78,70.5,74.0,65.6,53.3,1
7.69,63.4,51.8,91.1,71.6,0
7.55,71.7,79.0,71.8,76.7,1
6.14,41.4,65.0,88.3,51.1,0
8.25,48.1,56.4,60.9,39.2,0
8.15,47.1,64.6,80.9,64.8,1
9.66,67.1,85.1,67.6,45.2,0
7.19,91.0,63.6,60.8,50.7,1
7.72,98.5,74.3,77.2,83.9,1
7.75,74.6,61.2,85.1,74.9,1
9.08,72.5,79.1,66.6,62.8,1
7.4,38.0,78.2,60.0,37.1,0
7.78,56.9,92.2,74.1,63.8,0
8.11,53.2,67.9,74.1,79.1,1
7.69,55.7,78.0,80.5,53.2,0
7.05,62.5,71.2,84.5,84.3,1
7.69,57.9,85.6,74.4,83.3,1
8.57,35.3,61.4,93.6,89.9,1
6.47,76.2,78.9,77.2,65.5,1
7.63,48.9,67.7,71.5,70.6,1
6.8,68.6,69.2,58.9,85.5,1
8.7,96.1,71.1,72.4,68.1,1
5.98,51.2,73.0,71.6,51.0,0
6.94,27.0,68.6,84.6,51.9,0
7.88,60.7,72.6,79.6,64.3,1
9.07,81.5,88.9,63.2,36.8,1
7.43,94.4,81.8,76.7,57.4,1
6.94,46.6,80.4,81.7,79.7,0
9.38,72.5,64.5,90.3,20.6,0
6.05,58.0,59.3,83.9,87.6,1
5.3,63.4,81.5,82.6,80.2,0
7.94,100.0,80.5,75.6,51.7,1
7.0,42.5,87.7,78.9,69.8,1
6.48,68.8,62.8,87.5,60.1,1
8.21,72.0,67.2,61.7,82.1,1
7.74,81.3,50.3,71.5,77.7,1
6.94,66.5,65.3,67.3,34.8,1
6.22,69.6,82.0,78.8,70.6,0
8.37,59.1,64.4,87.3,56.3,1
8.15,69.0,77.7,69.0,61.5,1
7.4,59.9,67.7,51.1,46.9,0
9.35,74.3,73.9,70.9,91.5,1
6.43,59.5,56.2,84.1,78.7,1
5.97,70.7,71.0,80.4,46.7,0
6.81,64.6,34.1,79.3,36.0,0
7.45,81.9,67.8,72.2,53.1,0
7.74,64.2,50.4,62.2,67.8,0
7.26,38.4,84.5,80.2,64.3,0
7.85,83.9,79.3,66.7,82.6,1
6.25,51.4,75.6,96.8,74.2,0
8.94,55.2,88.3,80.7,77.5,1
7.42,56.1,58.6,69.2,65.9,1
8.62,85.6,91.0,68.9,35.0,1
7.84,33.0,81.2,74.1,56.5,0
7.96,100.0,67.2,72.6,79.1,1
8.07,80.8,83.6,86.2,59.1,1
7.95,68.3,56.7,76.9,69.1,1
8.14,64.2,60.1,67.7,54.3,0
8.83,69.3,62.7,93.9,41.5,1
7.7,72.8,63.7,75.5,57.8,1
8.21,74.7,57.3,82.7,65.6,0
7.41,73.3,84.7,68.9,48.2,1
8.94,66.3,66.9,78.6,55.8,1
6.82,62.0,74.2,78.1,43.1,1
9.3,62.7,63.2,56.1,80.1,1
7.46,62.1,48.2,95.2,54.7,1
6.07,82.0,73.2,87.9,86.1,1
7.63,73.9,47.1,71.0,87.5,1
6.82,20.9,69.2,64.0,58.5,0
8.34,74.8,53.6,78.5,41.8,1
6.85,67.9,93.8,75.9,22.5,0
7.05,64.7,80.9,78.6,33.5,0
5.61,59.2,71.3,76.9,35.3,0
7.05,81.9,85.2,80.1,84.8,1
5.08,79.2,59.8,89.5,62.1,1
5.92,53.4,76.5,80.7,67.0,1
8.26,71.1,72.4,64.5,20.0,0
8.29,50.4,73.2,88.6,38.4,0
7.93,44.3,85.3,91.4,76.0,1
6.53,55.6,78.8,100.0,65.2,1
7.45,77.9,73.5,63.8,57.4,1
7.5,79.3,50.1,77.4,70.2,1
6.34,72.7,58.5,54.2,89.4,1
9.0,75.9,68.5,80.5,56.0,1
8.38,72.7,71.1,69.5,61.2,1
7.28,55.4,56.4,94.2,63.5,1
7.53,71.5,98.9,67.3,100.0,1
7.71,77.0,88.2,58.1,22.2,1
5.46,76.3,77.2,70.3,72.3,1
7.25,82.8,70.9,55.2,57.9,1
6.82,75.6,67.5,82.5,70.2,1
6.5,70.3,58.6,54.3,48.2,0
7.22,81.1,70.9,75.3,59.1,1
9.3,64.6,73.1,54.2,72.8,1
8.14,51.8,55.1,71.8,100.0,0
6.93,62.6,74.0,91.4,74.5,1
8.07,53.8,68.1,78.6,44.7,0
